SCIENTIFIC_NAME,N,COMMON_NAME
Pycnoptilus floccosus,426,Pilotbird
Calidris ruficollis,421,Red-necked Stint
Haematopus fuliginosus,421,Sooty Oystercatcher
Poliocephalus poliocephalus,421,Hoary-headed Grebe
Circus approximans,416,Swamp Harrier
Chrysococcyx lucidus,415,Shining Bronze-Cuckoo
Trichoglossus chlorolepidotus,402,Scaly-breasted Lorikeet
Daphoenositta chrysoptera,401,Varied Sittella
Falcunculus frontatus,401,Crested Shrike-tit
Artamus cyanopterus,391,Dusky Woodswallow
Carduelis carduelis,389,European Goldfinch
Accipiter novaehollandiae,384,Gray Goshawk
Arenaria interpres,381,Ruddy Turnstone
Anthus novaeseelandiae,376,Australasian Pipit
Gallinago hardwickii,376,Latham's Snipe
Gallirallus philippensis,364,Buff-banded Rail
Taeniopygia bichenovii,362,Double-barred Finch
Falco peregrinus,356,Peregrine Falcon
Myiagra inquieta,356,Restless Flycatcher
Synoicus ypsilophorus,355,Brown Quail
Hydroprogne caspia,354,Caspian Tern
Zoothera lunulata,354,Bassian Thrush
Butorides striata,352,Striated Heron
Lopholaimus antarcticus,352,Topknot Pigeon
Glossopsitta pusilla,347,Little Lorikeet
Pluvialis fulva,331,Pacific Golden-Plover
Ailuroedus crassirostris,328,Green Catbird
Stagonopleura bella,321,Beautiful Firetail
Erythrogonys cinctus,313,Red-kneed Dotterel
Accipiter cirrocephalus,298,Collared Sparrowhawk
Limosa lapponica,297,Bar-tailed Godwit
Spatula rhynchotis,297,Australian Shoveler
Ptilotula fusca,294,Fuscous Honeyeater
Pandion haliaetus,291,Osprey
Chrysococcyx basalis,282,Horsfield's Bronze-Cuckoo
Lichmera indistincta,275,Brown Honeyeater
Aquila audax,261,Wedge-tailed Eagle
Corcorax melanorhamphos,254,White-winged Chough
Climacteris erythrops,247,Red-browed Treecreeper
Larus dominicanus,244,Kelp Gull
Megalurus timoriensis,226,Tawny Grassbird
Aviceda subcristata,223,Pacific Baza
Lewinia pectoralis,218,Lewin's Rail
Smicrornis brevirostris,215,Weebill
Columba leucomela,210,White-headed Pigeon
Taeniopygia guttata,210,Zebra Finch
Hylacola pyrrhopygia,202,Chestnut-rumped Heathwren
Ninox novaeseelandiae,201,Southern Boobook
Falco longipennis,197,Australian Hobby
Acanthiza reguloides,196,Buff-rumped Thornbill
Callocephalon fimbriatum,195,Gang-gang Cockatoo
Sternula albifrons,192,Little Tern
Dicrurus bracteatus,189,Spangled Drongo
Platalea flavipes,186,Yellow-billed Spoonbill
Tringa brevipes,180,Gray-tailed Tattler
Tyto alba,178,Barn Owl
Lonchura punctulata,176,Scaly-breasted Munia
Lonchura castaneothorax,175,Chestnut-breasted Munia
Zapornia pusilla,173,Baillon's Crake
Cracticus nigrogularis,167,Pied Butcherbird
Numenius madagascariensis,167,Far Eastern Curlew
Edolisoma tenuirostre,164,Common Cicadabird
Calyptorhynchus lathami,155,Glossy Black-Cockatoo
Stipiturus malachurus,154,Southern Emuwren
Microeca fascinans,148,Jacky-winter
Gliciphila melanops,147,Tawny-crowned Honeyeater
Merops ornatus,147,Rainbow Bee-eater
Petroica boodang,129,Scarlet Robin
Charadrius bicinctus,128,Double-banded Plover
Lalage tricolor,125,White-winged Triller
Zapornia tabuensis,124,Spotless Crake
Aegotheles cristatus,122,Australian Owlet-nightjar
Sericulus chrysocephalus,122,Regent Bowerbird
Artamus leucorynchus,118,White-breasted Woodswallow
Megalurus mathewsi,117,Rufous Songlark
Cacomantis variolosus,113,Brush Cuckoo
Sterna striata,111,White-fronted Tern
Hieraaetus morphnoides,109,Little Eagle
Stictonetta naevosa,107,Freckled Duck
Plegadis falcinellus,103,Glossy Ibis
Lophoictinia isura,99,Square-tailed Kite
Egretta sacra,95,Pacific Reef-Heron
Phylidonyris pyrrhopterus,89,Crescent Honeyeater
Chlidonias hybrida,88,Whiskered Tern
Charadrius ruficapillus,86,Red-capped Plover
Cacomantis pallidus,85,Pallid Cuckoo
Sterna hirundo,84,Common Tern
Alauda arvensis,81,Eurasian Skylark
Cinclosoma punctatum,78,Spotted Quail-thrush
Podiceps cristatus,78,Great Crested Grebe
Myiagra cyanoleuca,77,Satin Flycatcher
Falco berigora,76,Brown Falcon
Turnix varius,75,Painted Buttonquail
Phaps elegans,66,Brush Bronzewing
Plectorhyncha lanceolata,66,Striped Honeyeater
Coracina papuensis,65,White-bellied Cuckooshrike
Calidris canutus,56,Red Knot
Megalurus cruralis,54,Brown Songlark
Strepera versicolor,51,Gray Currawong
Ixobrychus flavicollis,50,Black Bittern
Circus assimilis,49,Spotted Harrier
Artamus superciliosus,46,White-browed Woodswallow
Entomyzon cyanotis,46,Blue-faced Honeyeater
Numenius phaeopus,46,Whimbrel
Porzana fluminea,45,Australian Crake
Lathamus discolor,44,Swift Parrot
Pitta versicolor,43,Noisy Pitta
Artamus personatus,39,Masked Woodswallow
Apus pacificus,38,Pacific Swift
Corvus mellori,38,Little Raven
Larus pacificus,37,Pacific Gull
Petroica goodenovii,37,Red-capped Robin
Biziura lobata,36,Musk Duck
Calidris ferruginea,36,Curlew Sandpiper
Corvus orru,35,Torresian Crow
Cuculus optatus,35,Oriental Cuckoo
Eurostopodus mystacalis,35,White-throated Nightjar
Vanellus tricolor,35,Banded Lapwing
Tadorna variegata,33,Paradise Shelduck
Centropus phasianinus,30,Pheasant Coucal
Eudyptula minor,30,Little Penguin
Anas platyrhynchos,29,Mallard
Gerygone levigaster,29,Mangrove Gerygone
Struthidea cinerea,29,Apostlebird
Petroica phoenicea,27,Flame Robin
Vanellus cinereus,26,Gray-headed Lapwing
Calidris alba,25,Sanderling
Climacteris picumnus,24,Brown Treecreeper
Ptilinopus regina,23,Rose-crowned Fruit-Dove
Calidris tenuirostris,22,Great Knot
Tyto tenebricosa,22,Sooty Owl
Tadorna tadornoides,21,Australian Shelduck
Anthochaera phrygia,20,Regent Honeyeater
Tringa nebularia,19,Common Greenshank
Tyto novaehollandiae,19,Australian Masked-Owl
Dendrocygna eytoni,18,Plumed Whistling-Duck
Pyrrholaemus sagittatus,17,Speckled Warbler
Chloris chloris,16,European Greenfinch
Esacus magnirostris,16,Beach Thick-knee
Tribonyx ventralis,16,Black-tailed Nativehen
Dendrocygna arcuata,15,Wandering Whistling-Duck
Milvus migrans,14,Black Kite
Actitis hypoleucos,13,Common Sandpiper
Philemon citreogularis,13,Little Friarbird
Haliastur indus,12,Brahminy Kite
Stagonopleura guttata,12,Diamond Firetail
Chalcophaps longirostris,11,Pacific Emerald Dove
Psittacula eupatria,11,Alexandrine Parakeet
Burhinus grallarius,10,Bush Thick-knee
Haematopus finschi,10,South Island Oystercatcher
Pluvialis squatarola,10,Black-bellied Plover
Anous minutus,9,Black Noddy
Charadrius mongolus,9,Lesser Sand-Plover
Coturnix pectoralis,9,Stubble Quail
Charadrius leschenaultii,8,Greater Sand-Plover
Ixobrychus dubius,8,Black-backed Bittern
Ninox connivens,8,Barking Owl
Platycercus adscitus,8,Pale-headed Rosella
Tringa incana,8,Wandering Tattler
Calidris melanotos,7,Pectoral Sandpiper
Ephippiorhynchus asiaticus,6,Black-necked Stork
Neophema pulchella,6,Turquoise Parrot
Orthonyx temminckii,6,Australian Logrunner
Tringa stagnatilis,6,Marsh Sandpiper
Aix galericulata,5,Mandarin Duck
Oxyura australis,5,Blue-billed Duck
Sternula nereis,5,Australian Fairy Tern
Symposiachrus trivirgatus,5,Spectacled Monarch
Anseranas semipalmata,4,Magpie Goose
Melithreptus gularis,4,Black-chinned Honeyeater
Mirafra javanica,4,Australasian Bushlark
